canonical_tag,synonym_count,synonyms,applied_counts,total_applied,max_applied,creation_dates,earliest_synonym,latest_synonym
network-programming,3,networking|networks|network,248|373|14752,15373,14752,2024-09-13|2016-08-17|2010-08-27,2010-08-27,2024-09-13
sql-server,3,sql-srever|ms-sql-server|mssql,62|79|14675,14816,14675,2013-12-17|2010-08-01|2010-07-16,2010-07-16,2013-12-17
.htaccess,2,codeigniter-htaccess|htaccess,0|14335,14335,14335,2019-12-15|2010-07-26,2010-07-26,2019-12-15
plugins,1,plugin,14229,14229,14229,2010-07-16,2010-07-16,2010-07-16
apache-spark-sql,3,pyspark-sql|spark-sql|spark-dataframe,3027|144|10626,13797,10626,2018-09-28|2015-08-11|2015-09-30,2015-08-11,2018-09-28
sorting,6,columnsorting|sorted|date-sorting|array-sorting|sorting-algorithm|sort,155|541|193|295|250|12305,13739,12305,2022-12-20|2016-05-14|2016-05-26|2012-09-27|2012-09-09|2010-08-02,2010-08-02,2022-12-20
templates,1,template,13539,13539,13539,2010-07-16,2010-07-16,2010-07-16
selenium-webdriver,6,selenium-webdriver-python|selenium|webdriverjs|selenium-webdriver-java|selenium-webdriver-c#|selenium2,23|12598|172|23|8|528,13352,12598,2023-11-05|2019-04-29|2015-08-20|2014-03-10|2014-03-10|2014-03-10,2014-03-10,2023-11-05
visual-studio-code,2,vscode-settings|vscode,2197|10948,13145,10948,2021-12-01|2015-07-22,2015-07-22,2021-12-01
go,2,golang|go-language,12595|20,12615,12595,2010-07-16|2010-07-16,2010-07-16,2010-07-16
function,2,def|functions,564|11665,12229,11665,2016-01-21|2010-08-25,2010-08-25,2016-01-21
for-loop,1,for,11607,11607,11607,2010-10-14,2010-10-14,2010-10-14
macros,2,custom-macros|macro,4|11296,11300,11296,2011-10-23|2010-07-22,2010-07-22,2011-10-23
reporting-services,6,microsoft-reporting|ssrs-reports|msrs|sql-reporting-services|ssrs|reporting-service,13|1963|1|50|9129|19,11175,9129,2016-01-27|2012-03-21|2011-10-19|2010-08-04|2010-08-04|2010-07-23,2010-07-23,2016-01-27
printing,2,print|printer,9319|1728,11047,9319,2010-08-27|2010-08-27,2010-08-27,2010-08-27
authentication,6,login|client-authentication|user-authentication|authenticate|auth|logon,7733|23|38|251|2547|202,10794,7733,2014-11-12|2013-04-22|2013-04-22|2012-05-18|2011-08-10|2012-02-23,2011-08-10,2014-11-12
methods,1,method,10710,10710,10710,2010-07-22,2010-07-22,2010-07-22
postgresql,4,azure-database-postgresql|sql-postgres|pgsql|postgres,1|18|398|10239,10656,10239,2022-12-20|2011-02-21|2010-08-15|2010-07-16,2010-07-16,2022-12-20
list,5,generic-list|list-comparison|python-list|ilist|lists,27|17|203|205|10058,10510,10058,2022-12-20|2022-03-04|2018-10-20|2015-02-21|2010-08-18,2010-08-18,2022-12-20
string,4,empty-string|str|string-manipulation|strings,89|920|372|9027,10408,9027,2015-03-15|2011-10-02|2011-06-27|2010-09-20,2010-09-20,2015-03-15
indexing,2,indexes|index,378|9983,10361,9983,2012-09-27|2012-09-27,2012-09-27,2012-09-27
vb.net,2,vb|vbproj,10304|11,10315,10304,2012-07-24|2011-12-02,2011-12-02,2012-07-24
events,1,event,9919,9919,9919,2010-07-22,2010-07-22,2010-07-22
ansible,1,ansible-playbook,9758,9758,9758,2016-04-28,2016-04-28,2016-04-28
flutter,9,flutter-provider|flutter-test|flutter-web|flutter-desktop|flutter-ios|flutter-android|flutter-widget|flutter-layout|flutter-sdk,67|1051|2784|162|341|322|237|4748|23,9735,4748,2024-03-05|2022-12-20|2023-01-30|2023-01-30|2023-01-30|2023-01-30|2022-08-25|2022-08-25|2021-09-12,2021-09-12,2024-03-05
servlets,5,webservlet|servletcontext|httpservletrequest|httpservletresponse|servlet,6|64|140|60|9391,9661,9391,2015-02-11|2011-09-07|2010-12-10|2010-12-10|2010-07-16,2010-07-16,2015-02-11
actionscript-3,2,as3-api|as3,4|9615,9619,9615,2019-02-25|2010-07-16,2010-07-16,2019-02-25
hyperlink,3,links|hyperlinks|link,1040|349|8079,9468,8079,2016-08-17|2010-10-27|2010-10-27,2010-10-27,2016-08-17
pointers,4,unsafe-pointers|pointer-address|ptr|pointer,9|1|70|9385,9465,9385,2023-10-13|2023-10-13|2015-09-04|2010-07-22,2010-07-22,2023-10-13
file,1,files,9418,9418,9418,2011-05-02,2011-05-02,2011-05-02
colors,3,colours|colour|color,71|331|8931,9333,8931,2016-08-17|2016-08-17|2010-09-05,2010-09-05,2016-08-17
caching,3,cache-coherence|cached|cache,22|86|9208,9316,9208,2010-12-11|2011-09-07|2010-09-23,2010-09-23,2011-09-07
performance,23,slow-load|code-efficiency|performance-monitoring|performance-measurement|slowness|tuning|application-performance|android-performance|javascript-performance|jquery-performance|linq-performance|wcf-performance|efficiency|speed-up|running-time|faster|speed|performance-comparison|fast|slow|performance-tuning|perfomance|performance-issues,9|144|29|22|90|366|8|192|91|30|8|8|927|53|50|218|2528|97|832|2770|472|307|33,9284,2770,2014-11-20|2014-09-09|2013-12-15|2013-12-15|2013-06-10|2013-02-17|2013-01-25|2013-01-25|2013-01-25|2013-01-25|2013-01-25|2013-01-25|2011-08-17|2011-07-17|2011-06-26|2011-06-26|2011-04-16|2011-01-16|2011-01-07|2011-01-08|2010-11-13|2010-11-09|2010-10-25,2010-10-25,2014-11-20
testing,3,test|tests|software-testing,8138|785|79,9002,8138,2010-10-14|2010-10-14|2010-09-14,2010-09-14,2010-10-14
frameworks,1,framework,8979,8979,8979,2010-08-09,2010-08-09,2010-08-09
regex,10,sql-regex|apache-regexp|regularexpression|perlre|perl-regex|regex-php|regexes|regexp|regular-expression|regular-expressions,0|2|1014|4|38|14|10|3735|2767|1331,8915,3735,2022-11-03|2014-10-10|2013-12-04|2013-09-05|2013-06-21|2013-06-21|2010-07-26|2010-07-16|2010-07-16|2010-07-16,2010-07-16,2022-11-03
debugging,2,debugger|debug,1525|7307,8832,7307,2011-03-30|2010-09-27,2010-09-27,2011-03-30
datatables,1,jquery-datatables,8353,8353,8353,2013-11-20,2013-11-20,2013-11-20
google-cloud-firestore,5,firebasefirestore|firebase-cloud-firestore|cloud-firestore|firestore|firebase-firestore,565|28|108|7375|206,8282,7375,2021-04-02|2017-10-09|2017-10-09|2017-10-06|2017-10-06,2017-10-06,2021-04-02
java,11,java-api|javax|openjdk|oraclejdk|java-libraries|jre|jdk|core-java|j2se|.java|java-se,21|624|2455|152|61|1360|2940|113|156|305|88,8275,2940,2020-04-27|2018-05-08|2018-02-02|2016-07-18|2014-08-18|2013-08-28|2013-08-28|2011-07-06|2011-07-06|2011-05-31|2010-09-17,2010-09-17,2020-04-27
asynchronous,3,asynchronously|asynchronous-processing|async,5|3|8101,8109,8101,2018-06-11|2014-01-18|2010-08-27,2010-08-27,2018-06-11
uitableview,14,tableviewcell|uitableviewcelll|uitableviewcontroller|uitableviewstylegrouped|uitableview-section|uitableviewfooter|uitableviewheader|uitableviewdelegate|uitableviewdatasource|uitableviewstyle|uitableviewcellstylevalue|uitableviewcellaccessory|uitableviewcell|uitable,1674|1166|733|0|1|0|7|24|31|2|0|5|4279|94,8016,4279,2015-04-23|2016-03-23|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2014-06-13|2012-12-16,2012-12-16,2016-03-23
email,3,email-injection|email-integration|mail,0|6|7969,7975,7969,2021-03-02|2021-03-02|2010-09-29,2010-09-29,2021-03-02
c++,2,cxx|cpp,20|7809,7829,7809,2019-07-27|2011-02-08,2011-02-08,2019-07-27
snowflake-cloud-data-platform,16,snowflake-stage|snowflake-webui|snowflake-time-travel|snowpark|snowflake-connector|snowflake-xml|snowflake-sql|snowflake-stream|snowflake-pipe|snowflake-task|snowsql|snowflake-data-masking|snowflake-data-warehouse|snowflake-connector-python|snowflake-datawarehouse|snowflake,80|1|5|309|652|0|2193|68|260|730|432|23|3|15|2|2943,7716,2943,2024-02-08|2024-02-08|2024-02-08|2022-12-12|2022-08-09|2021-09-29|2021-09-29|2021-03-23|2020-12-10|2020-12-10|2020-12-10|2020-12-10|2020-03-31|2019-12-10|2019-12-10|2019-10-17,2019-10-17,2024-02-08
winapi,5,windows-sdk|window-api|win32api|win32|windows-api,132|2|1196|6105|263,7698,6105,2012-05-12|2011-08-05|2010-11-22|2010-10-21|2010-07-16,2010-07-16,2012-05-12
iphone,6,iphone-web|iphone-ios|iphone-programming|iphone-app|iphone-development|iphone-sdk,0|3|10|68|129|7435,7645,7435,2014-06-07|2013-03-19|2011-08-11|2010-09-20|2010-09-08|2010-08-13,2010-08-13,2014-06-07
duplicates,10,no-duplicates|ignore-duplicates|deduplication|duplicate-data|duplicate-detection|duplicate-content|duplication|duplicate-removal|duplicate-entry|duplicate,61|18|433|592|51|56|331|2295|19|3742,7598,3742,2015-06-12|2015-06-12|2015-06-12|2015-06-12|2015-06-12|2015-06-12|2015-06-12|2015-06-12|2013-12-25|2010-07-16,2010-07-16,2015-06-12
google-cloud-platform,2,gcp|google-cloud,6420|985,7405,6420,2017-05-08|2015-02-11,2015-02-11,2017-05-08
while-loop,2,while-loops|while,71|7328,7399,7328,2011-01-20|2010-10-29,2010-10-29,2011-01-20
apache-kafka,2,kafka-cluster|kafka,12|7358,7370,7358,2022-05-12|2015-08-04,2015-08-04,2022-05-12
bots,1,bot,7188,7188,7188,2012-07-27,2012-07-27,2012-07-27
web,3,website|websites|www,5878|586|689,7153,5878,2018-10-08|2010-10-23|2010-09-18,2010-09-18,2018-10-08
database,4,dbms|database-structure|db|databases,951|39|4123|1961,7074,4123,2014-05-12|2011-01-12|2010-08-16|2010-07-16,2010-07-16,2014-05-12
class,1,classes,7045,7045,7045,2010-09-06,2010-09-06,2010-09-06
next.js,1,nextjs,7039,7039,7039,2018-07-02,2018-07-02,2018-07-02
object,1,objects,7018,7018,7018,2010-10-23,2010-10-23,2010-10-23
sass,1,scss,6883,6883,6883,2013-03-11,2013-03-11,2013-03-11
android-recyclerview,3,recycler-adapter|recyclerview-layout|recyclerview,2|820|5882,6704,5882,2020-03-23|2016-02-04|2015-08-23,2015-08-23,2020-03-23
encryption,7,deciphering|encrypted|data-encryption|cipher|decrypt|decryption|encrypt,31|223|10|1200|1569|2393|1268,6694,2393,2015-04-12|2014-12-04|2014-11-08|2014-01-12|2013-03-21|2010-12-16|2010-11-01,2010-11-01,2015-04-12
exception,4,exceptionhandler|custom-exceptions|exception-handling|exceptions,15|181|4905|1593,6694,4905,2023-09-17|2018-09-26|2018-06-24|2010-08-10,2010-08-10,2023-09-17
types,3,datatype|datatypes|type,712|580|5383,6675,5383,2016-08-17|2011-04-16|2010-09-07,2010-09-07,2016-08-17
passwords,1,password,6645,6645,6645,2010-07-22,2010-07-22,2010-07-22
c#,6,.cs-file|csharp|visual-c#|c#-language|c#.net|c-sharp,1|2564|115|18|3690|251,6639,3690,2016-03-07|2014-07-08|2011-09-26|2010-08-29|2010-07-16|2010-07-14,2010-07-14,2016-03-07
logging,3,logs|log|logger,1407|4455|694,6556,4455,2011-10-04|2011-10-04|2011-02-15,2011-02-15,2011-10-04
triggers,3,database-trigger|sql-triggers|trigger,848|76|5453,6377,5453,2017-03-13|2014-11-19|2010-10-23,2010-10-23,2017-03-13
routes,3,routing|custom-routes|route,3911|52|2332,6295,3911,2015-04-30|2015-04-30|2014-07-08,2014-07-08,2015-04-30
design-patterns,5,gang-of-four|gof|patterns|design-pattern|pattern,50|42|1124|203|4839,6258,4839,2016-08-04|2013-10-22|2013-09-02|2012-05-04|2012-03-29,2012-03-29,2016-08-04
css,37,box-shadow|box-sizing|css-text-overflow|css-border-image|css-border-radius|css-box-shadow|css-text-shadow|css3|css-font-weight|dynamic-css|css-borders|css-reset|css-menu|font-weight|css-box-model|inline-block|alternate-stylesheets|css-overflow|css-line-height|css-display|css-validation|style.css-template-file|box-model|max-width|max-height|min-width|min-height|css-centering|css-inheritance|css-columns|css2|css-height|css-classes|css-attributes|css-background-image|css-layout|cascading-style-sheet,330|60|1|0|0|0|0|4259|0|60|0|54|5|54|6|208|0|5|9|9|2|0|33|188|89|77|80|5|10|34|51|27|104|4|22|423|9,6218,4259,2020-06-17|2020-06-17|2019-05-31|2019-05-31|2019-05-31|2019-05-31|2019-05-31|2019-05-31|2017-02-08|2016-11-01|2016-11-10|2015-09-09|2015-08-17|2015-03-27|2015-03-11|2015-02-18|2015-02-10|2014-11-16|2014-10-20|2014-04-02|2014-01-02|2014-01-09|2014-01-01|2013-10-30|2013-10-30|2013-10-30|2013-10-30|2013-10-17|2013-04-06|2013-03-08|2013-03-12|2012-04-20|2012-04-20|2012-01-12|2011-03-18|2010-08-03|2010-07-23,2010-07-23,2020-06-17
internet-explorer,2,msie|ie,67|6145,6212,6145,2010-07-16|2010-07-16,2010-07-16,2010-07-16
dns,2,domain|domains,5659|549,6208,5659,2012-08-21|2010-08-11,2010-08-11,2012-08-21
rest,5,restapi|restful-architecture|rest-api|restful-web-services|restful,713|770|1077|362|3168,6090,3168,2021-10-27|2016-05-27|2017-09-12|2010-08-06|2010-07-22,2010-07-22,2021-10-27
charts,3,charting-controls|chart|charting,27|5812|246,6085,5812,2013-05-13|2011-04-19|2011-04-19,2011-04-19,2013-05-13
cron,3,crontab|cronexpression|cronjob,4477|677|894,6048,4477,2016-01-08|2013-11-12|2010-10-05,2010-10-05,2016-01-08
fonts,1,font,5873,5873,5873,2010-07-16,2010-07-16,2010-07-16
notifications,1,notification,5863,5863,5863,2010-07-22,2010-07-22,2010-07-22
amazon-s3,4,amazon-s3-bucket|s3-bucket|aws-s3|s3,2|385|205|5176,5768,5176,2022-02-14|2018-11-05|2010-09-07|2010-08-02,2010-08-02,2022-02-14
conditional-statements,4,condition|conditions|conditionals|conditional,925|368|115|4315,5723,4315,2019-05-25|2019-05-25|2019-05-25|2013-03-23,2013-03-23,2019-05-25
mongodb,2,mongod|mongo,252|5442,5694,5442,2012-09-04|2010-11-14,2010-11-14,2012-09-04
ecmascript-6,4,es6-harmony|es2015|ecmascript-2015|es6,0|923|55|4684,5662,4684,2016-03-18|2015-12-10|2015-11-08|2014-12-07,2014-12-07,2016-03-18
intellij-idea,2,intellij-2016.1|intellij,8|5556,5564,5556,2016-04-13|2010-07-25,2010-07-25,2016-04-13
validation,8,validating|data-validation|validator|form-validation|input-validation|validate|validators|validations,49|106|601|2110|722|1549|115|306,5558,2110,2017-12-15|2015-08-18|2014-10-20|2013-05-13|2013-05-13|2012-01-24|2011-09-08|2010-10-23,2010-10-23,2017-12-15
ggplot2,2,ggplot|qplot,5397|135,5532,5397,2013-03-28|2013-03-28,2013-03-28,2013-03-28
winforms,7,windows-forms-app|windows.forms|winform|window-form|windows-form|window-forms|windows-forms,3|68|4477|12|172|12|726,5470,4477,2021-01-09|2010-09-20|2010-07-22|2010-07-16|2010-07-16|2010-07-16|2010-07-14,2010-07-14,2021-01-09
android-intent,3,android-intent-flags|intents|intent,1|282|5172,5455,5172,2013-11-05|2010-08-02|2012-01-14,2010-08-02,2013-11-05
react-hooks,6,usecallback|react-usememo|use-reducer|use-ref|use-effect|use-state,69|64|141|271|2407|2483,5435,2483,2022-09-16|2022-09-16|2022-09-16|2022-09-16|2022-03-13|2022-03-13,2022-03-13,2022-09-16
d3.js,6,d3.js-v5|d3v5|d3.js-v4|d3v4|d3js|d3,1|15|283|341|387|4364,5391,4364,2020-07-15|2018-03-28|2016-11-23|2016-07-01|2016-03-18|2012-01-20,2012-01-20,2020-07-15
numbers,1,number,5369,5369,5369,2010-07-22,2010-07-22,2010-07-22
parameters,3,param|params|parameter,123|721|4479,5323,4479,2016-11-25|2016-11-25|2010-07-22,2010-07-22,2016-11-25
amazon-ec2,2,aws-ec2|ec2,1435|3877,5312,3877,2015-09-05|2010-08-02,2010-08-02,2015-09-05
shell,6,shell-trap|shellscript|shell-commands|shell-command|shell-scripting|shell-script,2|847|20|42|3895|478,5284,3895,2021-01-22|2015-04-22|2010-10-29|2010-10-29|2010-10-29|2010-10-13,2010-10-13,2021-01-22
operating-system,2,os|operating-systems,5055|139,5194,5055,2010-07-16|2010-07-16,2010-07-16,2010-07-16
compilation,2,compile|compiling,4245|908,5153,4245,2011-09-12|2011-09-12,2011-09-12,2011-09-12
jakarta-ee,4,java-ee-web-profile|java-ee|j2ee|jee,0|91|2958|2056,5105,2958,2020-01-08|2020-01-08|2010-11-24|2010-07-16,2010-07-16,2020-01-08
android,7,android-framework|android-ui|android-application|android-device|android-api|android-sdk|android-mobile,313|2163|186|61|210|2137|33,5103,2163,2016-02-01|2015-03-09|2014-11-12|2012-04-18|2012-02-28|2010-10-27|2010-07-22,2010-07-22,2016-02-01
mysql,9,mysql-if|mysqlsh|mysqldump|mysqlclient|mysqld|mysql-table|mysql-server|mysql-query|my-sql,0|32|1977|190|124|38|150|2506|80,5097,2506,2019-06-20|2018-08-13|2016-06-13|2015-03-15|2015-03-15|2013-09-23|2013-02-15|2010-12-26|2010-07-22,2010-07-22,2019-06-20
facebook,6,fbconnect|facebook-sdk-ios|facebook-connect|facebook-application|facebook-sdk|facebook-api,5|10|2336|507|679|1533,5070,2336,2023-06-01|2014-12-03|2011-01-04|2010-11-18|2010-10-30|2010-08-25,2010-08-25,2023-06-01
python-requests,1,requests,5038,5038,5038,2012-11-23,2012-11-23,2012-11-23
deployment,2,web-deployment|deploy,1587|3400,4987,3400,2021-01-24|2010-09-06,2010-09-06,2021-01-24
modal-dialog,1,modal,4974,4974,4974,2013-10-28,2013-10-28,2013-10-28
switch-statement,2,switch|switch-case,4756|202,4958,4756,2011-08-13|2011-08-13,2011-08-13,2011-08-13
odoo,1,openerp,4915,4915,4915,2014-07-29,2014-07-29,2014-07-29
itext,2,itextsharp|itextpdf,4054|839,4893,4054,2016-06-15|2012-12-31,2012-12-31,2016-06-15
python-imaging-library,3,pillow|python-pil|pil,3234|6|1624,4864,3234,2017-02-19|2012-11-09|2010-11-09,2010-11-09,2017-02-19
styles,1,style,4854,4854,4854,2012-02-05,2012-02-05,2012-02-05
visual-c++,6,microsoft-visual-c++|vc|vc++.net|msvc++|msvc|vc++,0|110|57|234|1529|2727,4657,2727,2020-01-16|2013-05-30|2010-10-08|2010-07-16|2010-07-16|2010-07-16,2010-07-16,2020-01-16
composer-php,2,composer.json|composer,18|4609,4627,4609,2020-09-28|2013-06-15,2013-06-15,2020-09-28
assembly,3,assembly-language|assembler|asm,116|1405|3072,4593,3072,2012-04-29|2011-11-06|2010-09-02,2010-09-02,2012-04-29
.net,3,.net-framework|dot-net|dotnet,217|30|4333,4580,4333,2011-04-29|2010-08-01|2010-07-16,2010-07-16,2011-04-29
cookies,1,cookie,4563,4563,4563,2010-08-26,2010-08-26,2010-08-26
android-activity,2,main-activity|activity,191|4216,4407,4216,2016-09-11|2014-03-03,2014-03-03,2016-09-11
http-redirect,6,redirect|https-redirect|url-redirection|redirecting|redirection|redirects,150|1|2453|131|1288|353,4376,2453,2024-04-16|2024-01-25|2016-06-24|2015-06-14|2011-07-16|2010-10-23,2010-10-23,2024-04-16
airflow,5,airflow-scheduler|airflow-operator|apache-airflow-xcom|airflow-worker|apache-airflow,638|4|2|4|3692,4340,3692,2021-08-10|2021-08-10|2021-08-10|2021-08-10|2018-01-16,2018-01-16,2021-08-10
enums,2,enumerations|enum,19|4319,4338,4319,2013-10-06|2010-08-04,2010-08-04,2013-10-06
maui,1,.net-maui,4213,4213,4213,2022-04-15,2022-04-15,2022-04-15
google-bigquery,6,bq|bigquery|bigquery-standard-sql|bigquery-ml|python-bigquery|google-bigquery-ml,13|1398|2407|6|372|4,4200,2407,2022-09-02|2019-11-04|2019-08-27|2019-08-27|2019-08-27|2019-04-29,2019-04-29,2022-09-02
twitter,2,twitter-rest-api|twitter-api,20|4152,4172,4152,2017-06-21|2010-10-30,2010-10-30,2017-06-21
security,5,cybersecurity|web-security|vulnerabilities|vulnerability|secure,354|1786|183|530|1313,4166,1786,2021-05-05|2013-01-16|2010-08-29|2010-08-29|2010-08-25,2010-08-25,2021-05-05
express,2,expressjs|express.js,2400|1764,4164,2400,2011-12-12|2011-12-11,2011-12-11,2011-12-12
xslt,6,xml-transform|xslt-2.0-processors|xsltprocessor|xsltproc|xsltransform|xsl,46|0|18|49|9|4040,4162,4040,2013-01-21|2012-01-25|2012-01-25|2012-01-25|2010-10-27|2010-09-02,2010-09-02,2013-01-21
parallel-processing,5,parallelism|parallelization|parallel|parallel-computing|parallel-programming,230|119|3589|57|132,4127,3589,2012-01-27|2012-01-27|2012-01-13|2012-01-27|2011-01-07,2011-01-07,2012-01-27
audio,3,sounds|sound-api|sound,140|9|3962,4111,3962,2013-06-02|2010-10-30|2011-05-20,2010-10-30,2013-06-02
themes,1,theme,4093,4093,4093,2010-07-22,2010-07-22,2010-07-22
generics,8,generic-programming|scala-generics|kotlin-generics|java-generics|swift-generics|generic-class|.net-generics|generic,351|74|180|158|85|32|13|3191,4084,3191,2020-08-30|2018-09-21|2018-05-08|2015-04-11|2015-04-01|2013-04-23|2011-08-23|2011-03-01,2011-03-01,2020-08-30
gruntjs,2,grunt-cli|grunt,17|4036,4053,4036,2014-01-10|2013-01-11,2013-01-11,2014-01-10
table,1,tables,4045,4045,4045,2010-10-23,2010-10-23,2010-10-23
asp.net-mvc-3,2,asp.net-mvc-3-validation|mvc3,5|4039,4044,4039,2011-05-05|2010-12-12,2010-12-12,2011-05-05
artificial-intelligence,1,ai,3981,3981,3981,2010-07-16,2010-07-16,2010-07-16
zend-framework,2,zend|zf,3780|200,3980,3780,2012-01-12|2010-07-28,2010-07-28,2012-01-12
tags,1,tag,3964,3964,3964,2010-07-22,2010-07-22,2010-07-22
collections,2,java-collections-api|collection,466|3488,3954,3488,2015-01-11|2010-07-22,2010-07-22,2015-01-11
windows-phone-7,2,windows-phone-7.5|wp7,818|3131,3949,3131,2012-02-10|2010-07-27,2010-07-27,2012-02-10
recursion,1,recursive,3941,3941,3941,2010-08-02,2010-08-02,2010-08-02
