college_name_standardized,short_name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url,wikipedia_url
Indian Institute of Information Technology Nagpur,IIIT Nagpur,West,Nagpur,Maharashtra,IIIT (PPP - Autonomous),2016,201,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science | Artificial Intelligence,https://www.iiitn.ac.in,https://www.shiksha.com/university/iiit-nagpur-nagpur-114767,https://en.wikipedia.org/wiki/IIIT_Nagpur
Indian Institute of Information Technology Pune,IIIT Pune,West,Pune,Maharashtra,IIIT (PPP - Autonomous),2016,206,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitp.ac.in,https://www.shiksha.com/university/iiit-pune-pune-114768,https://en.wikipedia.org/wiki/IIIT_Pune
Indian Institute of Information Technology Bhopal,IIIT Bhopal,Central,Bhopal,Madhya Pradesh,IIIT (PPP - Autonomous),2017,211,B.Tech | M.Tech,Computer Science | Electronics & Communication | Information Technology,https://www.iiitbhopal.ac.in,https://www.shiksha.com/university/iiit-bhopal-bhopal-114769,https://en.wikipedia.org/wiki/IIIT_Bhopal
Indian Institute of Information Technology Bhagalpur,IIIT Bhagalpur,East,Bhagalpur,Bihar,IIIT (PPP - Autonomous),2017,216,B.Tech | M.Tech,Computer Science | Electronics & Communication,https://www.iiitbh.ac.in,https://www.shiksha.com/university/iiit-bhagalpur-bhagalpur-114770,https://en.wikipedia.org/wiki/IIIT_Bhagalpur
Indian Institute of Information Technology Surat,IIIT Surat,West,Surat,Gujarat,IIIT (PPP - Autonomous),2017,221,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitsurat.ac.in,https://www.shiksha.com/university/iiit-surat-surat-114771,https://en.wikipedia.org/wiki/IIIT_Surat
Indian Institute of Information Technology Manipur,IIIT Manipur,East,Imphal,Manipur,IIIT (PPP - Autonomous),2015,226,B.Tech | M.Tech,Computer Science | Electronics & Communication,https://www.iiitmanipur.ac.in,https://www.shiksha.com/university/iiit-manipur-imphal-114772,https://en.wikipedia.org/wiki/IIIT_Manipur
Indian Institute of Information Technology Tiruchirappalli,IIIT Trichy,South,Tiruchirappalli,Tamil Nadu,IIIT (PPP - Autonomous),2015,231,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitt.ac.in,https://www.shiksha.com/university/iiit-trichy-tiruchirappalli-114773,https://en.wikipedia.org/wiki/IIIT_Tiruchirappalli
Indian Institute of Information Technology Una,IIIT Una,North,Una,Himachal Pradesh,IIIT (PPP - Autonomous),2014,236,B.Tech | M.Tech,Computer Science | Electronics & Communication | Information Technology,https://www.iiitu.ac.in,https://www.shiksha.com/university/iiit-una-una-114774,https://en.wikipedia.org/wiki/IIIT_Una
Indian Institute of Information Technology Kalyani,IIIT Kalyani,East,Kalyani,West Bengal,IIIT (PPP - Autonomous),2014,241,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitklyani.ac.in,https://www.shiksha.com/university/iiit-kalyani-kalyani-114775,https://en.wikipedia.org/wiki/IIIT_Kalyani
Indian Institute of Information Technology Vadodara International Campus Diu,IIIT Vadodara ICD,West,Diu,Dadra and Nagar Haveli and Daman and Diu,IIIT (Central Govt - Autonomous),2017,246,B.Tech,Computer Science | Electronics & Communication,https://www.iiitvadodara.ac.in/icd,https://www.shiksha.com/university/iiit-vadodara-icd-diu-114776,https://en.wikipedia.org/wiki/IIIT_Vadodara_International_Campus_Diu
Indian Institute of Information Technology Kottayam,IIIT Kottayam,South,Kottayam,Kerala,IIIT (PPP - Autonomous),2015,251,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science | Artificial Intelligence,https://www.iiitkottayam.ac.in,https://www.shiksha.com/university/iiit-kottayam-kottayam-114777,https://en.wikipedia.org/wiki/IIIT_Kottayam
