college_name_standardized,short_name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url
Gurukul Kangri University,GKU Haridwar,North,Haridwar,Uttarakhand,GFTI (Deemed University),1902,,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Chemical Engineering | Biotechnology,https://www.gkvharidwar.ac.in,https://www.shiksha.com/university/gurukul-kangri-university-haridwar-14072
Indian Institute of Carpet Technology,IICT Bhadohi,North,Bhadohi,Uttar Pradesh,GFTI (Central Govt),1994,,B.Tech | M.Tech,Carpet and Textile Technology | Mechanical Engineering | Computer Science,https://www.iict.ac.in,https://www.shiksha.com/university/indian-institute-of-carpet-technology-bhadohi-36525
Indian Institute of Handloom Technology Salem,IIHT Salem,South,Salem,Tamil Nadu,GFTI (Central Govt),1935,,B.Tech,Textile Technology | Handloom Technology,https://www.iiht-salem.ac.in,https://www.shiksha.com/university/iiht-salem-salem-200002
Indian Institute of Handloom Technology Varanasi,IIHT Varanasi,North,Varanasi,Uttar Pradesh,GFTI (Central Govt),1952,,B.Tech,Textile Technology | Handloom Technology,https://www.iiht-varanasi.ac.in,https://www.shiksha.com/university/iiht-varanasi-varanasi-200003
Institute of Chemical Technology Mumbai Indian Oil Odisha Campus,ICT Mumbai Odisha,East,Bhubaneswar,Odisha,GFTI (Deemed University),2016,,B.Tech | M.Tech | Ph.D,Chemical Engineering | Polymer Engineering | Oils Fats & Waxes | Pharmaceutical Chemistry,https://www.ictmumbai.edu.in,https://www.shiksha.com/university/ict-mumbai-odisha-campus-bhubaneswar-200004
Institute of Engineering and Technology Dr. Hari Singh Gour University,IET Sagar,Central,Sagar,Madhya Pradesh,GFTI (Central University),1946,,B.Tech | M.Tech | Ph.D,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Information Technology,https://www.dhsgsu.ac.in,https://www.shiksha.com/university/iet-sagar-sagar-79349
Institute of Infrastructure Technology Research and Management,IITRAM Ahmedabad,West,Ahmedabad,Gujarat,GFTI (State Govt),2013,,B.Tech | M.Tech | Ph.D,Civil Engineering | Electrical Engineering | Mechanical Engineering | Computer Science | Electronics & Communication,https://www.iitram.ac.in,https://www.shiksha.com/university/iitram-ahmedabad-ahmedabad-79350
Institute of Technology Guru Ghasidas Vishwavidyalaya,IT GGV Bilaspur,Central,Bilaspur,Chhattisgarh,GFTI (Central University),2009,,B.Tech | M.Tech | Ph.D,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Information Technology | Chemical Engineering,https://www.ggu.ac.in,https://www.shiksha.com/university/ggv-bilaspur-bilaspur-36526
International Institute of Information Technology Bhubaneswar,IIIT Bhubaneswar,East,Bhubaneswar,Odisha,GFTI (State Govt),2006,,B.Tech | M.Tech | Ph.D | MBA,Computer Science | Electronics & Communication | Electrical Engineering | Information Technology | Data Science,https://www.iiit-bh.ac.in,https://www.shiksha.com/university/iiit-bhubaneswar-bhubaneswar-36527
Dr. Shyama Prasad Mukherjee International Institute of Information Technology,IIIT Naya Raipur,Central,Naya Raipur,Chhattisgarh,GFTI (State Govt),2015,,B.Tech | M.Tech | Ph.D,Computer Science | Electronics & Communication | Data Science | Artificial Intelligence | Information Technology,https://www.iiitnr.ac.in,https://www.shiksha.com/university/iiit-naya-raipur-raipur-114778
Islamic University of Science and Technology,IUST Pulwama,North,Pulwama,Jammu & Kashmir,GFTI (State University),2005,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Chemical Engineering,https://www.iust.ac.in,https://www.shiksha.com/university/iust-pulwama-pulwama-79351
J. K. Institute of Applied Physics and Technology University of Allahabad,JKIAPTAT Allahabad,North,Prayagraj,Uttar Pradesh,GFTI (Central University),1984,,B.Tech | M.Tech | Ph.D,Electronics & Communication | Computer Science | Information Technology,https://www.allduniv.ac.in,https://www.shiksha.com/university/jk-institute-allahabad-prayagraj-36528
Jawaharlal Nehru University,JNU New Delhi,North,New Delhi,Delhi,GFTI (Central University),1969,2.0,B.Tech | M.Tech | Ph.D | M.Sc | MA,Computer Science | Biotechnology | Environmental Science | Life Sciences | International Studies,https://www.jnu.ac.in,https://www.shiksha.com/university/jawaharlal-nehru-university-new-delhi-10799
Mizoram University,MZU Aizawl,East,Aizawl,Mizoram,GFTI (Central University),2001,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Civil Engineering | Electrical Engineering,https://www.mzu.edu.in,https://www.shiksha.com/university/mizoram-university-aizawl-14091
National Institute of Advanced Manufacturing Technology,NIAMT Ranchi,East,Ranchi,Jharkhand,GFTI (Central Govt),1974,,B.Tech | M.Tech | Ph.D,Manufacturing Engineering | Production Engineering | Mechanical Engineering | Computer Science | Metallurgical Engineering,https://www.niamt.ac.in,https://www.shiksha.com/university/niamt-ranchi-ranchi-36529
National Institute of Electronics & Information Technology Chhatrapati Sambhaji Nagar,NIELIT Aurangabad,West,Chhatrapati Sambhaji Nagar,Maharashtra,GFTI (Central Govt),1994,,B.Tech | M.Tech,Electronics & Communication | Computer Science | Information Technology,https://www.nielit.gov.in,https://www.shiksha.com/university/nielit-aurangabad-aurangabad-36530
National Institute of Electronics and Information Technology Ajmer,NIELIT Ajmer,North,Ajmer,Rajasthan,GFTI (Central Govt),2010,,B.Tech | M.Tech,Electronics & Communication | Computer Science | Information Technology,https://www.nielit.gov.in/ajmer,https://www.shiksha.com/university/nielit-ajmer-ajmer-200005
National Institute of Electronics and Information Technology Gorakhpur,NIELIT Gorakhpur,North,Gorakhpur,Uttar Pradesh,GFTI (Central Govt),2010,,B.Tech | M.Tech,Electronics & Communication | Computer Science | Information Technology,https://www.nielit.gov.in/gorakhpur,https://www.shiksha.com/university/nielit-gorakhpur-gorakhpur-200006
National Institute of Electronics and Information Technology Patna,NIELIT Patna,East,Patna,Bihar,GFTI (Central Govt),2010,,B.Tech | M.Tech,Electronics & Communication | Computer Science | Information Technology,https://www.nielit.gov.in/patna,https://www.shiksha.com/university/nielit-patna-patna-200007
National Institute of Electronics and Information Technology Ropar,NIELIT Ropar,North,Ropar,Punjab,GFTI (Central Govt),2010,,B.Tech | M.Tech,Electronics & Communication | Computer Science | Information Technology,https://www.nielit.gov.in/ropar,https://www.shiksha.com/university/nielit-ropar-ropar-200008
National Institute of Food Technology Entrepreneurship and Management Sonepat,NIFTEM Sonepat,North,Sonepat,Haryana,GFTI (Central Govt),2012,,B.Tech | M.Tech | Ph.D | MBA,Food Technology | Food Safety | Agricultural Engineering | Biotechnology | Computer Science,https://www.niftem.ac.in,https://www.shiksha.com/university/niftem-sonepat-sonepat-79352
National Institute of Food Technology Entrepreneurship and Management Thanjavur,NIFTEM Thanjavur,South,Thanjavur,Tamil Nadu,GFTI (Central Govt),2020,,B.Tech | M.Tech | Ph.D,Food Technology | Food Safety | Agricultural Engineering | Biotechnology,https://www.niftem-t.ac.in,https://www.shiksha.com/university/niftem-thanjavur-thanjavur-200009
North Eastern Regional Institute of Science and Technology,NERIST Itanagar,East,Itanagar,Arunachal Pradesh,GFTI (Central Govt),1984,,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Agricultural Engineering | Forestry,https://www.nerist.ac.in,https://www.shiksha.com/university/nerist-itanagar-itanagar-36531
North-Eastern Hill University,NEHU Shillong,East,Shillong,Meghalaya,GFTI (Central University),1973,,B.Tech | M.Tech | Ph.D | M.Sc | MA,Computer Science | Electronics & Communication | Civil Engineering | Electrical Engineering | Information Technology,https://www.nehu.ac.in,https://www.shiksha.com/university/nehu-shillong-shillong-14093
Puducherry Technological University,PTU Puducherry,South,Puducherry,Puducherry,GFTI (State University),2012,,B.Tech | M.Tech | Ph.D | MBA,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Information Technology | Chemical Engineering,https://www.pec.edu,https://www.shiksha.com/university/puducherry-technological-university-puducherry-200010
Punjab Engineering College,PEC Chandigarh,North,Chandigarh,Chandigarh,GFTI (Central Govt - Deemed),1921,101.0,B.Tech | M.Tech | Ph.D | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Aerospace Engineering | Electronics & Communication | Production Engineering | Materials Science | Metallurgical Engineering,https://www.pec.ac.in,https://www.shiksha.com/university/pec-chandigarh-chandigarh-11120
Rajiv Gandhi National Aviation University,RGNAU Amethi,North,"Fursatganj, Amethi",Uttar Pradesh,GFTI (Central University),2013,,B.Tech | M.Tech | Ph.D | MBA,Aerospace Engineering | Avionics | Computer Science | Electronics & Communication | Airport Management,https://www.rgnau.ac.in,https://www.shiksha.com/university/rgnau-amethi-amethi-79353
Sant Longowal Institute of Engineering and Technology,SLIET Longowal,North,Longowal,Punjab,GFTI (Central Govt - Deemed),1989,111.0,B.Tech | M.Tech | Ph.D | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Food Technology | Instrumentation,https://www.sliet.ac.in,https://www.shiksha.com/university/sliet-longowal-longowal-11121
School of Engineering Tezpur University,Tezpur University,East,Tezpur,Assam,GFTI (Central University),1994,76.0,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Chemical Engineering | Food Technology,https://www.tezu.ernet.in,https://www.shiksha.com/university/tezpur-university-tezpur-11122
School of Planning and Architecture Bhopal,SPA Bhopal,Central,Bhopal,Madhya Pradesh,GFTI (Central Govt),2008,,B.Arch | B.Plan | M.Plan | Ph.D,Architecture | Urban Planning | Industrial Design | Landscape Architecture,https://www.spabhopal.ac.in,https://www.shiksha.com/university/spa-bhopal-bhopal-36532
School of Planning and Architecture New Delhi,SPA New Delhi,North,New Delhi,Delhi,GFTI (Central Govt),1955,8.0,B.Arch | B.Plan | M.Plan | M.Arch | Ph.D,Architecture | Urban Planning | Industrial Design | Landscape Architecture | Environmental Planning | Housing | Transport Planning,https://www.spa.ac.in,https://www.shiksha.com/university/spa-new-delhi-new-delhi-11123
School of Planning and Architecture Vijayawada,SPA Vijayawada,South,Vijayawada,Andhra Pradesh,GFTI (Central Govt),2008,,B.Arch | B.Plan | M.Plan | Ph.D,Architecture | Urban Planning | Industrial Design,https://www.spav.ac.in,https://www.shiksha.com/university/spa-vijayawada-vijayawada-36533
Shri G. S. Institute of Technology and Science,SGSITS Indore,Central,Indore,Madhya Pradesh,GFTI (State Govt),1952,,B.Tech | M.Tech | Ph.D | MBA | MCA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering | Automobile Engineering | Applied Chemistry,https://www.sgsits.ac.in,https://www.shiksha.com/university/sgsits-indore-indore-11124
Shri Mata Vaishno Devi University,SMVDU Katra,North,Katra,Jammu & Kashmir,GFTI (State University),1999,121.0,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Electronics & Communication | Civil Engineering | Mechanical Engineering | Electrical Engineering | Chemical Engineering | Biotechnology | Architecture,https://www.smvdu.ac.in,https://www.shiksha.com/university/smvdu-katra-katra-36534
University of Hyderabad,UoH Hyderabad,South,Hyderabad,Telangana,GFTI (Central University),1974,11.0,B.Tech | M.Tech | Ph.D | M.Sc | MA | MBA,Computer Science | Electronics & Communication | Biotechnology | Chemical Sciences | Life Sciences | Environmental Sciences | Mathematics | Physics | Materials Science,https://www.uohyd.ac.in,https://www.shiksha.com/university/university-of-hyderabad-hyderabad-11125
