name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url
NIT Hamirpur,North,Hamirpur,Himachal Pradesh,NIT (Central Govt - Autonomous),1986,78,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering | Materials Science | Architecture,https://www.nith.ac.in,https://www.shiksha.com/university/nit-hamirpur-hamirpur-11107
NIT Jalandhar,North,Jalandhar,Punjab,NIT (Central Govt - Autonomous),1987,72,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Biotechnology | Instrumentation | Leather Technology,https://www.nitj.ac.in,https://www.shiksha.com/university/nit-jalandhar-jalandhar-11108
NIT Patna,East,Patna,Bihar,NIT (Central Govt - Autonomous),1886,82,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Architecture,https://www.nitp.ac.in,https://www.shiksha.com/university/nit-patna-patna-11109
NIT Raipur,Central,Raipur,Chhattisgarh,NIT (Central Govt - Autonomous),1956,84,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Metallurgical Engineering | Mining Engineering | Biotechnology,https://www.nitrr.ac.in,https://www.shiksha.com/university/nit-raipur-raipur-11110
NIT Bhopal,Central,Bhopal,Madhya Pradesh,NIT (Central Govt - Autonomous),1960,73,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Biotechnology | Mechanical-Industrial Engineering,https://www.manit.ac.in,https://www.shiksha.com/university/nit-bhopal-bhopal-11111
NIT Jamshedpur,East,Jamshedpur,Jharkhand,NIT (Central Govt - Autonomous),1960,70,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Metallurgical Engineering | Production Engineering | Chemical Engineering,https://www.nitjsr.ac.in,https://www.shiksha.com/university/nit-jamshedpur-jamshedpur-11112
NIT Srinagar,North,Srinagar,Jammu & Kashmir,NIT (Central Govt - Autonomous),1960,91,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Metallurgical Engineering | Information Technology,https://www.nitsri.ac.in,https://www.shiksha.com/university/nit-srinagar-srinagar-11113
NIT Agartala,East,Agartala,Tripura,NIT (Central Govt - Autonomous),1965,101,B.Tech | M.Tech | Ph.D | M.Sc,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Production Engineering | Instrumentation Engineering | Electronics & Instrumentation,https://www.nita.ac.in,https://www.shiksha.com/university/nit-agartala-agartala-11114
NIT Manipur,East,Imphal,Manipur,NIT (Central Govt - Autonomous),2010,151,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering,https://www.nitmanipur.ac.in,https://www.shiksha.com/university/nit-manipur-imphal-21770
NIT Meghalaya,East,Shillong,Meghalaya,NIT (Central Govt - Autonomous),2010,161,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering,https://www.nitm.ac.in,https://www.shiksha.com/university/nit-meghalaya-shillong-43295
NIT Mizoram,East,Aizawl,Mizoram,NIT (Central Govt - Autonomous),2010,171,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication,https://www.nitmz.ac.in,https://www.shiksha.com/university/nit-mizoram-aizawl-43296
NIT Nagaland,East,Dimapur,Nagaland,NIT (Central Govt - Autonomous),2010,175,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication,https://www.nitnagaland.ac.in,https://www.shiksha.com/university/nit-nagaland-dimapur-43297
NIT Puducherry,South,Karaikal,Puducherry,NIT (Central Govt - Autonomous),2010,141,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering | Information Technology,https://www.nitpy.ac.in,https://www.shiksha.com/university/nit-puducherry-karaikal-43298
NIT Sikkim,East,Ravangla,Sikkim,NIT (Central Govt - Autonomous),2010,181,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication,https://www.nitsikkim.ac.in,https://www.shiksha.com/university/nit-sikkim-ravangla-43299
NIT Uttarakhand,North,Srinagar (Garhwal),Uttarakhand,NIT (Central Govt - Autonomous),2009,131,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering,https://www.nituk.ac.in,https://www.shiksha.com/university/nit-uttarakhand-srinagar-43300
NIT Andhra Pradesh,South,Tadepalligudem,Andhra Pradesh,NIT (Central Govt - Autonomous),2015,121,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering | Biotechnology,https://www.nitandhra.ac.in,https://www.shiksha.com/university/nit-andhra-pradesh-tadepalligudem-114757
NIT Delhi,North,New Delhi,Delhi,NIT (Central Govt - Autonomous),2010,76,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering | Information Technology,https://www.nitdelhi.ac.in,https://www.shiksha.com/university/nit-delhi-new-delhi-114758
NIT Goa,West,Ponda,Goa,NIT (Central Govt - Autonomous),2010,111,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Chemical Engineering,https://www.nitgoa.ac.in,https://www.shiksha.com/university/nit-goa-ponda-114759
NIT Arunachal Pradesh,East,Yupia,Arunachal Pradesh,NIT (Central Govt - Autonomous),2010,191,B.Tech | M.Tech | Ph.D,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication,https://www.nitap.ac.in,https://www.shiksha.com/university/nit-arunachal-pradesh-yupia-114760
NIT Surat,West,Surat,Gujarat,NIT (Central Govt - Autonomous),1961,57,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Metallurgical Engineering,https://www.svnit.ac.in,https://www.shiksha.com/university/nit-surat-surat-11106
